Field Sample ID,Technical Replicate,Rate (microgN/kilogram dry weight soil/day)
BESC-13-Cl1_35_33,1,105.3583863
BESC-13-Cl1_35_33,2,76.01249687
BESC-13-Cl2_39_29,1,87.46480971
BESC-13-Cl2_39_29,2,98.69850585
BESC-13-Cl3_85_26,1,60.70719394
BESC-13-Cl3_85_26,2,21.44795442
BESC-133-Cl2_62_7,1,335.011698
BESC-133-Cl2_62_7,2,211.974337
BESC-133-Cl3_93_10,1,23.69814883
BESC-133-Cl3_93_10,2,58.51076342
BESC-198-Cl2_38_5,1,595.651303
BESC-198-Cl2_38_5,2,460.7582906
BESC-198-Cl3_81_33,1,53.56023419
BESC-198-Cl3_81_33,2,58.26782076
BESC-234-Cl1_24_28,1,146.862814
BESC-234-Cl1_24_28,2,106.5602968
BESC-258-Cl1_34_5,1,725.6165982
BESC-258-Cl1_34_5,2,548.8538037
BESC-285-Cl1_33_12,1,31.86766518
BESC-285-Cl1_33_12,2,25.43301151
BESC-285-Cl2_56_7,1,213.6232477
BESC-285-Cl2_56_7,2,72.08198709
BESC-307-Cl2_57_8,1,347.0009557
BESC-307-Cl2_57_8,2,264.6295125
BESC-331-Cl2_55_18,1,387.539706
BESC-331-Cl2_55_18,2,516.1860814
BESC-351-Cl1_27_10,1,120.055508
BESC-351-Cl1_27_10,2,72.55519112
BESC-351-Cl2_54_28,1,232.3952319
BESC-351-Cl2_54_28,2,241.2524418
BESC-351-Cl3_84_27,1,271.2986724
BESC-351-Cl3_84_27,2,112.2779683
BESC-360-Cl2_44_14,1,143.7391205
BESC-360-Cl2_44_14,2,174.3837715
BESC-360-Cl3_72_12,1,27.24841898
BESC-360-Cl3_72_12,2,46.30813726
BESC-388-Cl1_25_34,1,47.69769947
BESC-388-Cl1_25_34,2,62.98206876
BESC-388-Cl2_50_4,1,116.4714185
BESC-388-Cl2_50_4,2,58.4675498
BESC-388-Cl3_88_3,1,41.60799106
BESC-388-Cl3_88_3,2,39.88535177
BESC-448-Cl1_35_3,1,65.79865524
BESC-448-Cl1_35_3,2,60.77428384
BESC-448-Cl3_88_32,1,39.4212462
BESC-448-Cl3_88_32,2,44.04624667
BESC-833-Cl2_42_16,1,574.9299714
BESC-833-Cl2_42_16,2,490.7532535
BESC-833-Cl3_77_6,1,161.9084696
BESC-833-Cl3_77_6,2,128.8543647
BESC-845-Cl1_31_22,1,137.3983097
BESC-845-Cl1_31_22,2,51.0845341
BESC-845-Cl2_37_16,1,338.0932987
BESC-845-Cl2_37_16,2,400.5697849
BESC-845-Cl3_80_19,1,24.87739316
BESC-845-Cl3_80_19,2,36.79588098
BESC-847-Cl2_38_7,1,100.4799514
BESC-847-Cl2_38_7,2,79.19087507
BESC-847-Cl3_83_27,1,88.63683212
BESC-847-Cl3_83_27,2,68.13962241
BESC-86-Cl2_69_17,1,358.4111856
BESC-86-Cl2_69_17,2,301.6766792
BESC-866-Cl2_50_11,1,506.8068566
BESC-866-Cl2_50_11,2,260.8141335
BESC-866-Cl3_75_7,1,85.17177068
BESC-866-Cl3_75_7,2,175.9536125
BESC-904-Cl2_57_20,1,293.830712
BESC-904-Cl2_57_20,2,239.5916502
BESC-904-Cl3_91_3,1,181.5029421
BESC-904-Cl3_91_3,2,69.21630206
BESC-905-Cl1_32_20,1,13.56967259
BESC-905-Cl1_32_20,2,3.747960738
GW-11047-Cl1_23_5,1,138.4195055
GW-11047-Cl1_23_5,2,77.52690062
GW-11047-Cl2_41_30,1,31.66446271
GW-11047-Cl2_41_30,2,10.72588824
GW-9591-Cl1_34_16,1,59.06811811
GW-9591-Cl1_34_16,2,56.4849061
GW-9591-Cl2_56_12,1,250.8925103
GW-9591-Cl2_56_12,2,364.4470891
GW-9591-Cl3_98_5,1,17.88765329
GW-9591-Cl3_98_5,2,11.40627599
GW-4579-Cl2_50_20,1,335.4903999
GW-4579-Cl2_50_20,2,549.0408615
GW-4579-Cl3_72_14,1,93.78393541
GW-4579-Cl3_72_14,2,847.299792
SKWA-24-3-Cl2_69_25,1,84.52389539
SKWA-24-3-Cl2_69_25,2,129.8280005
SKWD-24-1-Cl2_58_25,1,123.4431042
SKWD-24-1-Cl2_58_25,2,176.4383022
BESC-13-Co1_30_3,1,17.10206975
BESC-13-Co1_30_3,2,15.77504587
BESC-13-Co2_41_23,1,29.32789634
BESC-13-Co2_41_23,2,35.63767783
BESC-13-Co3_21_57,1,35.7781967
BESC-13-Co3_21_57,2,37.33016281
BESC-133-Co1_27_3,1,7.844722495
BESC-133-Co1_27_3,2,5.15137713
BESC-133-Co2_50_25,1,6.73404814
BESC-133-Co2_50_25,2,4.83613288
BESC-133-Co3_19_46,1,100.011026
BESC-133-Co3_19_46,2,128.3088019
BESC-234-Co1_23_3,1,16.75111296
BESC-234-Co1_23_3,2,16.10817341
BESC-234-Co2_52_27,1,11.45178667
BESC-234-Co2_52_27,2,10.55855876
BESC-234-Co3_21_62,1,52.1467457
BESC-234-Co3_21_62,2,53.20763306
BESC-307-Co1_31_6,1,0.845794251
BESC-307-Co1_31_6,2,2.088098617
BESC-307-Co2_62_14,1,0.896153486
BESC-307-Co2_62_14,2,5.01151798
BESC-307-Co3_27_41,1,24.47547085
BESC-307-Co3_27_41,2,33.61118587
BESC-331-Co1_12_7,1,11.10213701
BESC-331-Co1_12_7,2,3.467025888
BESC-331-Co2_50_17,1,2.765034585
BESC-331-Co2_50_17,2,3.987997413
BESC-331-Co3_15_40,1,33.38285657
BESC-331-Co3_15_40,2,23.47037237
BESC-351-Co1_10_3,1,104.4283654
BESC-351-Co1_10_3,2,78.67000329
BESC-351-Co2_42_17,1,13.36388139
BESC-351-Co2_42_17,2,8.70528009
BESC-351-Co3_11_46,1,30.54910649
BESC-351-Co3_11_46,2,37.08337994
BESC-360-Co1_23_6,1,11.63600509
BESC-360-Co1_23_6,2,12.3885706
BESC-360-Co2_62_25,1,26.70074928
BESC-360-Co2_62_25,2,34.82172053
BESC-360-Co3_13_34,1,78.2465515
BESC-360-Co3_13_34,2,62.88947806
BESC-388-Co1_32_7,1,21.48761446
BESC-388-Co1_32_7,2,13.16072057
BESC-388-Co2_54_7,1,19.8191739
BESC-388-Co2_54_7,2,11.49367338
BESC-388-Co3_8_57,1,102.6126895
BESC-388-Co3_8_57,2,125.2196195
BESC-833-Co1_6_4,1,1.387080075
BESC-833-Co1_6_4,2,0.477520364
BESC-833-Co2_47_23,1,7.48438395
BESC-833-Co2_47_23,2,9.660462024
BESC-833-Co3_31_37,1,5.449192045
BESC-833-Co3_31_37,2,11.45721014
BESC-845-Co1_24_3,1,11.79111902
BESC-845-Co1_24_3,2,15.13504262
BESC-845-Co2_60_28,1,13.44406645
BESC-845-Co2_60_28,2,10.09577424
BESC-845-Co3_28_42,1,56.62116212
BESC-845-Co3_28_42,2,65.66054418
BESC-847-Co1_12_9,1,6.461780128
BESC-847-Co1_12_9,2,11.51987652
BESC-847-Co2_69_13,1,0.79429242
BESC-847-Co2_69_13,2,0.609013441
BESC-847-Co3_9_34,1,11.86025743
BESC-847-Co3_9_34,2,8.684810899
BESC-866-Co1_10_5,1,3.513527939
BESC-866-Co1_10_5,2,2.154633333
BESC-866-Co2_58_19,1,6.246259056
BESC-866-Co2_58_19,2,3.092673594
BESC-866-Co3_27_48,1,35.36854282
BESC-866-Co3_27_48,2,5.960375711
BESC-904-Co1_5_9,1,57.59394219
BESC-904-Co1_5_9,2,34.59766684
BESC-904-Co2_51_17,1,0.965857232
BESC-904-Co2_51_17,2,0.733909882
BESC-904-Co3_16_51,1,20.01263426
BESC-904-Co3_16_51,2,19.3763868
GW-4579-Co1_14_4,1,41.87404784
GW-4579-Co1_14_4,2,50.20326044
GW-4579-Co2_44_8,1,9.968578683
GW-4579-Co2_44_8,2,7.311331222
GW-4579-Co3_14_51,1,35.26643924
GW-4579-Co3_14_51,2,59.8141802
GW-9591-Co1_16_8,1,4.040169133
GW-9591-Co1_16_8,2,2.427834577
GW-9591-Co2_62_24,1,3.990596584
GW-9591-Co2_62_24,2,3.041571033
GW-9591-Co3_35_48,1,13.13655709
GW-9591-Co3_35_48,2,16.3941116
SKWA-24-3-Co1_3_5,1,35.01648799
SKWA-24-3-Co1_3_5,2,29.29681261
SKWA-24-3-Co2_41_10,1,6.000736054
SKWA-24-3-Co2_41_10,2,6.262902371
SKWA-24-3-Co3_23_35,1,37.65207587
SKWA-24-3-Co3_23_35,2,31.91254261
SKWD-24-1-Co1_7_5,1,31.59997732
SKWD-24-1-Co1_7_5,2,12.63516416
SKWD-24-1-Co2_54_22,1,22.63650846
SKWD-24-1-Co2_54_22,2,19.47795607
SKWD-24-1-Co3_24_32,1,2.017894388
SKWD-24-1-Co3_24_32,2,0.897892282
