sample_id_raw,sample_id_norm
nmdc:bsm-11-pejvvs20,nmdc_bsm-11-pejvvs20
nmdc:bsm-11-bd18tk15,nmdc_bsm-11-bd18tk15
nmdc:bsm-11-j8ezj858,nmdc_bsm-11-j8ezj858
nmdc:bsm-11-yxxvqg27,nmdc_bsm-11-yxxvqg27
nmdc:bsm-11-v0hqhp22,nmdc_bsm-11-v0hqhp22
nmdc:bsm-11-2g6d7w97,nmdc_bsm-11-2g6d7w97
nmdc:bsm-11-ga8cav80,nmdc_bsm-11-ga8cav80
nmdc:bsm-11-nz6f9964,nmdc_bsm-11-nz6f9964
nmdc:bsm-11-wpsg6186,nmdc_bsm-11-wpsg6186
nmdc:bsm-11-azfn2405,nmdc_bsm-11-azfn2405
nmdc:bsm-11-6ntzv433,nmdc_bsm-11-6ntzv433
nmdc:bsm-11-vnkf4228,nmdc_bsm-11-vnkf4228
nmdc:bsm-11-k7jqh647,nmdc_bsm-11-k7jqh647
nmdc:bsm-11-4f4btc22,nmdc_bsm-11-4f4btc22
nmdc:bsm-11-hx8qxc63,nmdc_bsm-11-hx8qxc63
nmdc:bsm-11-jqwsb466,nmdc_bsm-11-jqwsb466
nmdc:bsm-11-0xqxvc88,nmdc_bsm-11-0xqxvc88
nmdc:bsm-11-ahpvvb55,nmdc_bsm-11-ahpvvb55
nmdc:bsm-11-7yjtg159,nmdc_bsm-11-7yjtg159
nmdc:bsm-11-af8ap759,nmdc_bsm-11-af8ap759
nmdc:bsm-11-57ejpn32,nmdc_bsm-11-57ejpn32
nmdc:bsm-11-1a9d1633,nmdc_bsm-11-1a9d1633
nmdc:bsm-11-yms2f086,nmdc_bsm-11-yms2f086
nmdc:bsm-11-wm40z541,nmdc_bsm-11-wm40z541
nmdc:bsm-11-pgfhya35,nmdc_bsm-11-pgfhya35
nmdc:bsm-11-4pc4k424,nmdc_bsm-11-4pc4k424
nmdc:bsm-11-aan31e03,nmdc_bsm-11-aan31e03
nmdc:bsm-11-v1ynyj85,nmdc_bsm-11-v1ynyj85
nmdc:bsm-11-hae6xn61,nmdc_bsm-11-hae6xn61
nmdc:bsm-11-zqaeph53,nmdc_bsm-11-zqaeph53
nmdc:bsm-11-thpb7b07,nmdc_bsm-11-thpb7b07
nmdc:bsm-11-rbzk5h49,nmdc_bsm-11-rbzk5h49
nmdc:bsm-11-xhbae603,nmdc_bsm-11-xhbae603
nmdc:bsm-11-zmsv5494,nmdc_bsm-11-zmsv5494
nmdc:bsm-11-wpye0n32,nmdc_bsm-11-wpye0n32
nmdc:bsm-11-jrahe581,nmdc_bsm-11-jrahe581
nmdc:bsm-11-kff3y587,nmdc_bsm-11-kff3y587
nmdc:bsm-11-wj8zqj74,nmdc_bsm-11-wj8zqj74
nmdc:bsm-11-nvgcpg87,nmdc_bsm-11-nvgcpg87
nmdc:bsm-11-90vp2x95,nmdc_bsm-11-90vp2x95
nmdc:bsm-11-4htstp40,nmdc_bsm-11-4htstp40
nmdc:bsm-11-spzb5g89,nmdc_bsm-11-spzb5g89
nmdc:bsm-11-6pr72x09,nmdc_bsm-11-6pr72x09
nmdc:bsm-11-7bbm7795,nmdc_bsm-11-7bbm7795
nmdc:bsm-11-wdfz5578,nmdc_bsm-11-wdfz5578
nmdc:bsm-11-sqpv6146,nmdc_bsm-11-sqpv6146
nmdc:bsm-11-cd09p052,nmdc_bsm-11-cd09p052
nmdc:bsm-11-nn5snj10,nmdc_bsm-11-nn5snj10
nmdc:bsm-11-ce1sg012,nmdc_bsm-11-ce1sg012
nmdc:bsm-11-tzp7r259,nmdc_bsm-11-tzp7r259
nmdc:bsm-11-adzwqg44,nmdc_bsm-11-adzwqg44
nmdc:bsm-11-vcna9q80,nmdc_bsm-11-vcna9q80
nmdc:bsm-11-e9z5qp65,nmdc_bsm-11-e9z5qp65
nmdc:bsm-11-fr4c9n11,nmdc_bsm-11-fr4c9n11
nmdc:bsm-11-1r59n445,nmdc_bsm-11-1r59n445
nmdc:bsm-11-8eypa967,nmdc_bsm-11-8eypa967
nmdc:bsm-11-45z1kv27,nmdc_bsm-11-45z1kv27
nmdc:bsm-11-4yy9a239,nmdc_bsm-11-4yy9a239
nmdc:bsm-11-qyx7qs76,nmdc_bsm-11-qyx7qs76
nmdc:bsm-11-7n6p8d80,nmdc_bsm-11-7n6p8d80
nmdc:bsm-11-z1r5gy96,nmdc_bsm-11-z1r5gy96
nmdc:bsm-11-6y2dt532,nmdc_bsm-11-6y2dt532
nmdc:bsm-11-hhb2g180,nmdc_bsm-11-hhb2g180
nmdc:bsm-11-9gmcv191,nmdc_bsm-11-9gmcv191
nmdc:bsm-11-at9sda86,nmdc_bsm-11-at9sda86
nmdc:bsm-11-xgrda154,nmdc_bsm-11-xgrda154
nmdc:bsm-11-k7v09098,nmdc_bsm-11-k7v09098
nmdc:bsm-11-s110fy15,nmdc_bsm-11-s110fy15
nmdc:bsm-11-011z7z70,nmdc_bsm-11-011z7z70
nmdc:bsm-11-zxvekh84,nmdc_bsm-11-zxvekh84
nmdc:bsm-11-k7fkcz65,nmdc_bsm-11-k7fkcz65
nmdc:bsm-11-3zh6yy26,nmdc_bsm-11-3zh6yy26
nmdc:bsm-11-6zd5nb38,nmdc_bsm-11-6zd5nb38
nmdc:bsm-11-7j0fnc87,nmdc_bsm-11-7j0fnc87
nmdc:bsm-11-67dmq694,nmdc_bsm-11-67dmq694
nmdc:bsm-11-kz54ep97,nmdc_bsm-11-kz54ep97
nmdc:bsm-11-v85xpj21,nmdc_bsm-11-v85xpj21
nmdc:bsm-11-05dve909,nmdc_bsm-11-05dve909
nmdc:bsm-11-8wd4pp40,nmdc_bsm-11-8wd4pp40
nmdc:bsm-11-kgjz0433,nmdc_bsm-11-kgjz0433
nmdc:bsm-11-4ep6tc76,nmdc_bsm-11-4ep6tc76
nmdc:bsm-11-1fa0hs25,nmdc_bsm-11-1fa0hs25
nmdc:bsm-11-vv577p15,nmdc_bsm-11-vv577p15
nmdc:bsm-11-g9w69290,nmdc_bsm-11-g9w69290
nmdc:bsm-11-ehqk1b45,nmdc_bsm-11-ehqk1b45
nmdc:bsm-11-b3d5yg81,nmdc_bsm-11-b3d5yg81
nmdc:bsm-11-aztxt406,nmdc_bsm-11-aztxt406
nmdc:bsm-11-zpf4n944,nmdc_bsm-11-zpf4n944
nmdc:bsm-11-ad739z23,nmdc_bsm-11-ad739z23
nmdc:bsm-11-adwwk217,nmdc_bsm-11-adwwk217
nmdc:bsm-11-d1h1d248,nmdc_bsm-11-d1h1d248
nmdc:bsm-11-kgkcxn39,nmdc_bsm-11-kgkcxn39
nmdc:bsm-11-f0st6436,nmdc_bsm-11-f0st6436
nmdc:bsm-11-szd4fj93,nmdc_bsm-11-szd4fj93
nmdc:bsm-11-h49t7j41,nmdc_bsm-11-h49t7j41
nmdc:bsm-11-k3zdem68,nmdc_bsm-11-k3zdem68
nmdc:bsm-11-97dgrv19,nmdc_bsm-11-97dgrv19
nmdc:bsm-11-8ah8pz02,nmdc_bsm-11-8ah8pz02
nmdc:bsm-11-5snc2s56,nmdc_bsm-11-5snc2s56
nmdc:bsm-11-da01b330,nmdc_bsm-11-da01b330
nmdc:bsm-11-18btad96,nmdc_bsm-11-18btad96
nmdc:bsm-11-vc1cgz17,nmdc_bsm-11-vc1cgz17
nmdc:bsm-11-rtchk112,nmdc_bsm-11-rtchk112
nmdc:bsm-11-2a37n046,nmdc_bsm-11-2a37n046
nmdc:bsm-11-arjq1c41,nmdc_bsm-11-arjq1c41
