,HILICZ_negative|IK:KRKNYBCHXYNGOX-UHFFFAOYSA-N,HILICZ_negative|IK:FBPFZTCFMRRESA-KVTDHHQDSA-N,HILICZ_positive|IK:KWIUHFFTVRNATP-UHFFFAOYSA-N,HILICZ_positive|IK:OLXZPDWKRNYJJZ-UHFFFAOYSA-N,C18_positive|IK:WQZGKKKJIJFFOK-PHYPRBDBSA-N,HILICZ_positive|IK:KDJVHSVOXOZBDR-UHFFFAOYSA-N,HILICZ_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,HILICZ_positive|IK:HUMNYLRZRPPJDN-UHFFFAOYSA-N,HILICZ_negative|IK:SLWWJZMPHJJOPH-PHDIDXHHSA-N,HILICZ_negative|IK:CZMRCDWAGMRECN-UGDNZRGBSA-N,HILICZ_negative|IK:AAWZDTNXLSGCEK-LNVDRNJUSA-N,C18_negative|IK:GUBGYTABKSRVRQ-QUYVBRFLSA-N,HILICZ_positive|IK:SIKJAQJRHWYJAI-UHFFFAOYSA-N,HILICZ_negative|IK:DRTQHJPVMGBUCF-UHFFFAOYSA-N,C18_positive|IK:CDRPUGZCRXZLFL-UHFFFAOYSA-N,HILICZ_negative|IK:BJRNKVDFDLYUGJ-UHFFFAOYSA-N,C18_negative|IK:NJRLDXGREKHXGV-IVABAYMNSA-N,HILICZ_positive|IK:JHAXQRDTTACRKJ-FQDDALBOSA-N,HILICZ_negative|IK:SMUMBCREXHTKFN-VZOUQOBNSA-N,HILICZ_negative|IK:KCOOTJRKKIDHTM-UHFFFAOYSA-N
chem__LBCeq (mg/kg CaCO3/pH dry weight),0.08876231251762326,-0.28595811253722137,-0.4488782872732823,0.012353818416437276,-0.1007217322439658,0.001810278141230355,-0.10632452170962427,0.4559829306645848,-0.5264630343340959,-0.19996621011815097,-0.40496155856790034,0.04085449404663041,0.26898356425151576,-0.31465885271850075,-0.17866982467876694,0.24177962291912308,-0.08637783683853927,0.0750247527732366,-0.19005258093577143,-0.39450913093106277
chem__LBC (mg/kg CaCO3/pH dry weight),0.08876231251762323,-0.2859581125372213,-0.44887828727328216,0.01235381841643727,-0.10072173224396577,0.001810278141230434,-0.10632452170962424,0.4559829306645849,-0.526463034334096,-0.19996621011815097,-0.40496155856790056,0.04085449404663045,0.26898356425151587,-0.31465885271850097,-0.17866982467876702,0.24177962291912308,-0.08637783683853931,0.07502475277323668,-0.1900525809357715,-0.39450913093106293
chem__Ca (Mehlich 1 mg/kg dry weight),0.0033575952226263697,-0.0013455860421339935,0.0032084829877806562,-0.03622265884955526,-0.1840382286762767,-0.0744215459905317,-0.09171918390374434,0.07947002393894943,-0.08691962276514714,0.106115412915335,-0.07201337000083756,-0.06404048074691839,0.06884748239698912,0.05411391763496369,-0.08157694535319004,-0.026458500382573174,-0.08898164285039989,-0.08182162041232743,-0.04668079249272436,0.010741051228408172
denit__Rate (microgN/kilogram dry weight soil/day),0.10824054984886046,-0.10212896180011664,-0.2792104949778587,0.04063655049231378,0.014465020949633556,0.0684167232677273,-0.07173272640667971,0.26521524365241367,-0.3188239478254291,-0.23226844091051316,-0.2435988338512424,0.0013980017051534925,0.12775293857117329,-0.3549972158997316,-0.15633819078012837,0.0665977180769533,-0.03783068097269222,0.021146179814089436,-0.1671625147852781,-0.20763530442293088
chem__K (Mehlich 1 mg/kg dry weight),-0.023726336907883356,-0.03451541654712774,0.001033795932240254,-0.08217507518913474,0.025615839907062392,-0.06828770052766873,0.12809520381437314,-0.11168185296859554,0.0052024700858083976,-0.0156472290423541,0.009017722413248773,-0.09113302685459415,0.11375326502185644,-0.03196017231833361,-0.08092194455067961,-0.08556812953604107,0.08079356380286888,-0.0464720407248171,-0.001481920960467698,-0.029070319049888334
chem__Mg (Mehlich 1 mg/kg dry weight),-0.046214918417028523,0.05563382966386639,0.12133328377911626,-0.1134493289917874,-0.15194830001024587,-0.15191654743194344,-0.10161294804917738,0.012549795359799073,-0.004665698567365663,0.21325163207304554,-0.016882414640201588,-0.13197336252627143,0.013368477194010558,0.1618511257720743,-0.04925670071440629,-0.05490309691767295,-0.16942148645493224,-0.12871015447107237,-0.07036181432899122,0.028581950121389667
chem__P (Mehlich 1 mg/kg dry weight),-0.04148974153375304,0.3028782492863562,0.43844500475708975,0.1180794180920629,0.13048319791148244,0.12586411839723452,0.16087629906694362,-0.49376943341501023,0.5446372004457715,0.07124578542368736,0.38457992618200676,0.03014750282529984,-0.24158019252717539,0.30850945356457576,0.22265783045327564,-0.3370877207991447,0.23872588303644746,-0.06578512804459427,0.20311279069531565,0.405343261392944
psize__Soil Clay Content %,-0.023139484603719382,0.3685439905891693,0.4641641052104073,0.12005240349420661,0.1531727331975782,0.12113174799392748,0.1721039598966503,-0.5167013582046776,0.5769278475283973,0.14858947533105343,0.47038873395434866,-0.015182008824244265,-0.3160269930087154,0.2920665902888684,0.2634460685533123,-0.27499679113153613,0.19540333318922884,-0.05105074556354469,0.2563990485766562,0.4678898642277263
psize__Soil Silt Content %,0.070708865987754,-0.31790043253101696,-0.41551000517561437,-0.10473082532318567,-0.16434824038809995,-0.1368531528294386,-0.1598055820141928,0.45922424599792344,-0.509898589939489,-0.09782622707935046,-0.43253109761762737,-0.005081704626692328,0.24864609350668376,-0.24661763345620663,-0.23662868508299253,0.20319762015703857,-0.18543130445381287,0.008841568247711068,-0.22688793196197446,-0.378914584384406
moist__Replicate 1 Mass Water / Mass Dry Soil %,0.1750964075128576,-0.21622422351019502,-0.40061053297950894,0.11815200753346322,-0.01233269279803265,0.05648961564989915,-0.1354525618315617,0.3952802736369024,-0.5025825947593697,-0.3442024134942782,-0.40426662279594183,0.15741750570845234,0.25232907077362077,-0.40428024146490055,-0.14117397400028148,0.12517616814580673,-0.025250499962009093,0.07222085154211719,-0.14034980630434546,-0.37598904775805647
moist__Replicate 2 Mass Water / Mass Dry Soil %,0.13230271582387754,-0.17560106105512532,-0.3754849150762632,0.09878201759360186,0.03644296416918039,0.08540672650762204,-0.1225079679570819,0.39689524482845245,-0.4718400743474964,-0.3233749954339558,-0.3737512624652419,0.21170525806767884,0.222757748037331,-0.37775308043694816,-0.10563958541210576,0.13168347558192706,0.013887058370309647,0.10049545449343393,-0.12294226080389345,-0.3359504014114076
moist__Replicate 3 Mass Water / Mass Dry Soil %,0.15863738417247317,-0.1813534647664408,-0.3949884536309763,0.1313471178419927,0.00036143055200400526,0.1028134966817842,-0.13622972508581868,0.40907092051733845,-0.4867149990812195,-0.3370396435753032,-0.40916504697271516,0.19874890326741168,0.23426069815372616,-0.3913152415367776,-0.1315927244413806,0.1557778216940684,0.0032924439315449435,0.08677508773607873,-0.10895734538562125,-0.3517772262480935
chem__Mn (Mehlich 1 mg/kg dry weight),0.07065647480541612,-0.2461744261183607,-0.37227581322429293,0.05045228603848012,-0.22164103010753464,-0.06887291908766831,-0.05841201607797786,0.3138343365749909,-0.4068366324169822,-0.01963761388181643,-0.3580046266356336,0.02923517667368798,0.17881626162568004,-0.1538030561667447,-0.1131653742356086,0.15493728760478542,-0.05607584282385486,0.04820158260421897,-0.11965827512318247,-0.31679299365018637
chem__NO3-N (mg/kg dry weight),0.10713223507367636,-0.3144774238484094,-0.44434332294858886,0.0724211810900156,-0.04004467150569263,-0.03293078817109985,-0.13676110609739633,0.4061329968957456,-0.5258376510063095,-0.16039298570555158,-0.3881386123727108,0.03635505592042701,0.2922148307976765,-0.35375929353320645,-0.09530991290261902,0.19329012829497838,-0.050010555439873566,-0.001364293615321025,-0.10217044507675041,-0.353267919398138
soil_NO3,0.10713223507367636,-0.3144774238484094,-0.44434332294858886,0.0724211810900156,-0.04004467150569263,-0.03293078817109985,-0.13676110609739633,0.4061329968957456,-0.5258376510063095,-0.16039298570555158,-0.3881386123727108,0.03635505592042701,0.2922148307976765,-0.35375929353320645,-0.09530991290261902,0.19329012829497838,-0.050010555439873566,-0.001364293615321025,-0.10217044507675041,-0.353267919398138
